"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\05_A4.d" ,"7" ,3.378,3.485,3.611,20.23,109.57,15.56,48.92,9.88,0.232,0.085,-0.53,-0.88,3.361,3.370,3.611,3.614,-0.53,-0.88,1.05,19.54,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\05_A4.d" ,"8" ,6.647,6.864,7.998,28.23,704.22,100.00,68.26,63.51,1.351,0.408,-1.83,-0.20,6.637,6.647,7.998,8.000,-1.83,-0.20,4.08,26.66,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\06_A5.d"," DAD1 - B:Sig=260,4  Ref=360,60 06_A5.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\06_A5.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\06_A5.d" ,"1" ,0.362,0.378,0.391,19.99,21.37,3.02,49.34,1.93,0.029,0.030,-1.03,-29.71,0.355,0.356,0.393,0.394,-1.03,-29.71,0.41,3.58,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\06_A5.d" ,"2" ,0.408,0.426,0.482,11.01,25.35,3.58,27.18,2.29,0.074,0.035,0.02,1.64,0.393,0.394,0.465,0.488,0.02,0.09,3.46,11.05,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\06_A5.d" ,"3" ,0.482,0.511,0.566,10.15,24.94,3.53,25.06,2.25,0.084,0.035,1.64,0.88,0.465,0.488,0.559,0.570,0.09,0.16,1.09,10.27,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\06_A5.d" ,"4" ,0.571,0.590,0.641,40.51,42.36,5.99,100.00,3.82,0.069,0.015,1.56,0.54,0.559,0.570,0.651,0.654,0.17,0.23,1.81,40.70,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\06_A5.d" ,"5" ,1.111,1.163,1.265,20.93,61.21,8.65,51.67,5.52,0.154,0.045,-0.11,0.10,1.104,1.106,1.301,1.304,-0.11,0.07,1.61,20.89,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\06_A5.d" ,"6" ,3.069,3.191,3.352,19.86,119.23,16.85,49.03,10.76,0.284,0.093,-0.78,-0.61,3.052,3.055,3.351,3.355,-0.81,-0.61,1.24,19.14,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\06_A5.d" ,"7" ,3.374,3.487,3.602,19.55,106.38,15.03,48.26,9.60,0.228,0.086,-0.59,-0.75,3.364,3.369,3.624,3.630,-0.59,-0.75,1.02,18.88,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\06_A5.d" ,"8" ,6.642,6.872,7.999,28.25,707.55,100.00,69.73,63.84,1.357,0.408,-1.89,-0.23,6.639,6.644,7.999,8.000,-1.89,-0.23,3.86,26.64,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\07_A6.d"," DAD1 - B:Sig=260,4  Ref=360,60 07_A6.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\07_A6.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\07_A6.d" ,"1" ,0.407,0.426,0.480,12.93,32.22,4.57,36.62,3.06,0.073,0.039,-1.69,1.67,0.394,0.394,0.465,0.486,-1.69,-1.23,3.29,11.37,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\07_A6.d" ,"2" ,0.480,0.510,0.566,11.87,32.28,4.58,33.63,3.07,0.086,0.039,1.67,0.99,0.465,0.486,0.559,0.572,-1.23,-0.68,1.36,10.84,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\07_A6.d" ,"3" ,0.573,0.593,0.643,35.31,38.82,5.51,100.00,3.69,0.070,0.015,1.64,0.41,0.559,0.572,0.653,0.656,-0.63,-0.19,1.76,34.80,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\07_A6.d" ,"4" ,1.118,1.168,1.272,17.99,52.55,7.46,50.96,4.99,0.153,0.044,-0.15,-0.05,1.109,1.115,1.289,1.295,-0.15,-0.05,1.61,17.88,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\07_A6.d" ,"5" ,3.080,3.200,3.340,16.96,100.37,14.24,48.02,9.54,0.260,0.093,-0.82,-0.55,3.069,3.071,3.363,3.368,-0.82,-0.55,1.22,16.26,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\07_A6.d" ,"6" ,3.379,3.496,3.611,16.99,91.33,12.96,48.13,8.68,0.232,0.085,-0.73,-0.94,3.371,3.375,3.628,3.635,-0.73,-0.94,1.01,16.16,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\07_A6.d" ,"7" ,6.646,6.867,7.998,28.26,704.76,100.00,80.04,66.97,1.353,0.408,-1.93,-0.22,6.636,6.646,7.998,8.000,-1.93,-0.22,4.03,26.61,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\08_A7.d"," DAD1 - B:Sig=260,4  Ref=360,60 08_A7.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\08_A7.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
