"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\48_D7.d" ,"10" ,6.644,6.869,7.999,28.27,708.35,100.00,76.75,65.77,1.355,0.408,-1.97,-0.25,6.634,6.639,7.999,8.000,-1.97,-0.25,4.01,26.59,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\49_D8.d"," DAD1 - B:Sig=260,4  Ref=360,60 49_D8.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\49_D8.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\49_D8.d" ,"1" ,0.364,0.378,0.392,15.10,15.78,2.23,26.11,1.20,0.028,0.030,-0.86,-22.32,0.355,0.356,0.394,0.395,-0.86,-22.32,0.42,3.67,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\49_D8.d" ,"2" ,0.407,0.424,0.486,9.83,23.05,3.26,17.00,1.76,0.078,0.035,0.03,1.58,0.394,0.395,0.462,0.491,0.03,0.07,4.19,9.87,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\49_D8.d" ,"3" ,0.486,0.514,0.566,8.86,22.97,3.24,15.31,1.75,0.080,0.041,1.58,0.72,0.462,0.491,0.561,0.571,0.07,0.12,0.93,8.95,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\49_D8.d" ,"4" ,0.572,0.591,0.644,57.83,60.70,8.57,100.00,4.63,0.071,0.015,1.42,0.55,0.561,0.571,0.652,0.654,0.12,0.16,1.87,57.96,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\49_D8.d" ,"5" ,0.677,0.711,0.764,7.92,15.15,2.14,13.69,1.16,0.087,0.029,0.40,0.40,0.652,0.654,0.751,0.778,0.18,0.22,1.72,8.11,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\49_D8.d" ,"6" ,1.114,1.168,1.301,30.31,89.12,12.59,52.41,6.80,0.186,0.045,-0.13,-0.04,1.103,1.108,1.298,1.305,-0.17,-0.04,1.60,30.18,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\49_D8.d" ,"7" ,3.087,3.210,3.374,28.62,171.32,24.20,49.49,13.08,0.286,0.093,-0.78,-0.50,3.064,3.067,3.373,3.380,-0.80,-0.50,1.23,27.95,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\49_D8.d" ,"8" ,3.384,3.499,3.623,28.70,154.75,21.86,49.63,11.81,0.240,0.085,-0.49,-0.67,3.373,3.380,3.627,3.630,-0.49,-0.67,1.06,28.13,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\49_D8.d" ,"9" ,3.630,3.693,3.755,3.92,13.84,1.96,6.77,1.06,0.124,0.058,-0.67,-0.68,3.627,3.630,3.753,3.757,-0.67,-0.68,1.08,3.24,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\49_D8.d" ,"10" ,3.756,3.814,3.871,7.80,25.32,3.58,13.48,1.93,0.115,0.053,-0.68,-0.69,3.753,3.757,3.929,3.931,-0.68,-0.69,1.10,7.11,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\49_D8.d" ,"11" ,4.421,4.472,4.544,4.08,10.39,1.47,7.05,0.79,0.123,0.040,-2.09,-2.12,4.414,4.420,4.570,4.573,-2.09,-2.12,1.27,1.98,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\49_D8.d" ,"12" ,6.642,6.865,7.999,28.26,707.88,100.00,48.86,54.03,1.357,0.408,-1.98,-0.24,6.641,6.643,7.998,8.000,-1.98,-0.24,4.17,26.57,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\50_D9.d"," DAD1 - B:Sig=260,4  Ref=360,60 50_D9.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\50_D9.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\50_D9.d" ,"1" ,0.364,0.379,0.392,16.24,16.83,2.38,34.65,1.41,0.028,0.031,-0.97,-24.21,0.355,0.356,0.394,0.395,-0.97,-24.21,0.39,3.48,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\50_D9.d" ,"2" ,0.409,0.425,0.466,8.59,15.74,2.23,18.33,1.32,0.057,0.031,1.19,1.98,0.394,0.395,0.463,0.491,1.19,1.85,2.33,9.97,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\50_D9.d" ,"3" ,0.489,0.514,0.561,7.62,17.05,2.41,16.26,1.42,0.072,0.033,1.78,1.27,0.463,0.491,0.561,0.572,1.78,1.15,1.88,9.19,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\50_D9.d" ,"4" ,0.576,0.594,0.644,46.88,48.00,6.79,100.00,4.01,0.069,0.015,1.92,0.51,0.561,0.572,0.656,0.658,1.03,0.42,1.76,47.74,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\50_D9.d" ,"5" ,0.695,0.724,0.771,5.26,9.65,1.37,11.22,0.81,0.077,0.028,0.21,0.16,0.656,0.658,0.764,0.789,0.17,0.13,1.60,5.41,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\50_D9.d" ,"6" ,1.129,1.182,1.295,25.11,74.01,10.47,53.56,6.19,0.166,0.045,-0.28,-0.14,1.116,1.124,1.293,1.297,-0.28,-0.14,1.61,24.87,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\50_D9.d" ,"7" ,3.114,3.236,3.404,24.06,143.80,20.34,51.32,12.02,0.289,0.093,-0.92,-0.75,3.110,3.114,3.403,3.407,-0.95,-0.75,1.24,23.19,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\50_D9.d" ,"8" ,3.409,3.520,3.635,25.29,129.23,18.28,53.95,10.80,0.226,0.080,-0.73,-0.89,3.403,3.407,3.641,3.644,-0.73,-0.89,1.06,24.48,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\50_D9.d" ,"9" ,3.646,3.707,3.763,2.73,9.20,1.30,5.83,0.77,0.117,0.055,-0.89,-0.98,3.641,3.644,3.765,3.768,-0.89,-0.98,0.90,1.80,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\50_D9.d" ,"10" ,3.766,3.823,3.903,5.62,18.85,2.67,11.99,1.57,0.136,0.053,-1.02,-1.58,3.765,3.768,3.914,3.917,-1.02,-1.58,1.06,4.36,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\50_D9.d" ,"11" ,4.424,4.476,4.555,2.78,7.18,1.02,5.93,0.60,0.131,0.040,-2.22,-2.28,4.414,4.416,4.576,4.579,-2.22,-2.28,1.24,0.54,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\50_D9.d" ,"12" ,6.643,6.865,7.999,28.27,707.04,100.00,60.31,59.09,1.356,0.408,-2.09,-0.32,6.637,6.644,7.998,8.000,-2.09,-0.32,4.17,26.47,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\52_D10.d"," DAD1 - B:Sig=260,4  Ref=360,60 52_D10.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\52_D10.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\52_D10.d" ,"1" ,0.364,0.379,0.392,17.95,19.31,2.56,45.78,1.56,0.029,0.031,-1.06,-26.95,0.355,0.357,0.394,0.395,-1.06,-26.95,0.41,3.38,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\52_D10.d" ,"2" ,0.408,0.425,0.484,10.58,24.49,3.25,26.98,1.98,0.076,0.035,0.09,1.81,0.394,0.395,0.462,0.490,0.09,0.10,4.13,10.67,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\52_D10.d" ,"3" ,0.484,0.513,0.564,9.87,26.16,3.47,25.17,2.11,0.080,0.041,1.81,1.37,0.462,0.490,0.558,0.574,0.10,0.10,1.20,9.97,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\52_D10.d" ,"4" ,0.586,0.601,0.657,39.21,45.32,6.01,100.00,3.66,0.071,0.016,2.18,0.10,0.558,0.574,0.662,0.664,0.10,0.10,1.95,39.31,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\52_D10.d" ,"5" ,0.727,0.755,0.805,6.46,12.56,1.66,16.47,1.02,0.078,0.030,0.23,0.01,0.662,0.664,0.816,0.818,0.18,0.01,1.58,6.58,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\52_D10.d" ,"6" ,1.164,1.219,1.331,21.92,66.72,8.85,55.91,5.39,0.167,0.047,-0.24,-0.11,1.155,1.163,1.330,1.332,-0.26,-0.11,1.58,21.72,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\52_D10.d" ,"7" ,3.186,3.305,3.450,21.61,128.65,17.05,55.10,10.40,0.264,0.093,-0.87,-0.73,3.174,3.176,3.465,3.467,-0.87,-0.73,1.22,20.80,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\52_D10.d" ,"8" ,3.477,3.573,3.675,25.35,115.58,15.32,64.64,9.34,0.198,0.072,-0.80,-0.79,3.470,3.472,3.679,3.685,-0.80,-0.79,1.08,24.55,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\52_D10.d" ,"9" ,3.686,3.740,3.799,3.82,12.24,1.62,9.75,0.99,0.112,0.053,-0.79,-0.77,3.679,3.685,3.796,3.799,-0.79,-0.78,1.11,3.03,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\52_D10.d" ,"10" ,3.799,3.852,3.905,7.33,22.40,2.97,18.68,1.81,0.106,0.050,-0.77,-0.78,3.796,3.799,3.941,3.945,-0.78,-0.78,1.09,6.54,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\52_D10.d" ,"11" ,4.442,4.487,4.541,3.67,9.23,1.22,9.35,0.75,0.099,0.039,-2.15,-2.09,4.435,4.438,4.540,4.542,-2.15,-2.17,1.22,1.50,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\52_D10.d" ,"12" ,6.639,6.866,8.000,29.19,754.37,100.00,74.43,60.98,1.361,0.413,-2.00,-0.25,6.636,6.640,7.999,8.000,-3.08,-0.25,6.48,26.58,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\53_D11.d"," DAD1 - B:Sig=260,4  Ref=360,60 53_D11.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\53_D11.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\53_D11.d" ,"1" ,0.364,0.379,0.392,15.06,15.58,2.20,27.31,1.21,0.028,0.030,-0.89,-21.85,0.355,0.357,0.394,0.395,-0.89,-21.85,0.40,3.54,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\53_D11.d" ,"2" ,0.408,0.424,0.486,9.73,22.58,3.19,17.65,1.75,0.079,0.034,0.03,1.51,0.394,0.395,0.463,0.491,0.03,0.11,4.23,9.78,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\53_D11.d" ,"3" ,0.486,0.514,0.566,8.60,21.48,3.04,15.59,1.67,0.080,0.038,1.51,0.60,0.463,0.491,0.562,0.571,0.11,0.18,0.95,8.73,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\53_D11.d" ,"4" ,0.574,0.593,0.643,55.14,58.09,8.22,100.00,4.52,0.069,0.015,1.59,0.68,0.562,0.571,0.654,0.657,0.19,0.25,1.83,55.35,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\53_D11.d" ,"5" ,0.691,0.719,0.764,6.94,12.49,1.77,12.59,0.97,0.072,0.028,0.35,0.43,0.654,0.657,0.759,0.785,0.30,0.37,1.60,7.27,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\53_D11.d" ,"6" ,1.128,1.177,1.286,29.08,85.29,12.06,52.74,6.63,0.158,0.045,-0.15,0.01,1.116,1.122,1.309,1.316,-0.15,0.00,1.60,28.98,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\53_D11.d" ,"7" ,3.111,3.229,3.393,27.58,166.11,23.50,50.02,12.91,0.282,0.094,-0.81,-0.60,3.110,3.112,3.390,3.396,-0.88,-0.60,1.21,26.82,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\53_D11.d" ,"8" ,3.401,3.514,3.638,28.76,149.74,21.18,52.16,11.64,0.238,0.082,-0.57,-0.76,3.390,3.396,3.636,3.641,-0.57,-0.76,1.06,28.10,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\53_D11.d" ,"9" ,3.639,3.704,3.764,3.60,12.51,1.77,6.53,0.97,0.125,0.057,-0.76,-0.79,3.636,3.641,3.764,3.766,-0.76,-0.79,0.97,2.83,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\53_D11.d" ,"10" ,3.765,3.822,3.901,7.54,26.09,3.69,13.67,2.03,0.137,0.055,-0.80,-1.43,3.764,3.766,3.927,3.929,-1.08,-1.43,1.09,6.31,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\53_D11.d" ,"11" ,4.427,4.475,4.542,3.71,9.45,1.34,6.72,0.73,0.115,0.040,-2.16,-2.18,4.424,4.427,4.556,4.559,-2.16,-2.18,1.28,1.54,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\53_D11.d" ,"12" ,6.645,6.872,7.999,28.23,706.98,100.00,51.19,54.96,1.355,0.408,-2.03,-0.26,6.643,6.645,7.999,8.000,-2.03,-0.26,3.98,26.50,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\54_D12.d"," DAD1 - B:Sig=260,4  Ref=360,60 54_D12.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\54_D12.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\54_D12.d" ,"1" ,0.363,0.378,0.392,16.93,18.15,2.57,58.80,1.79,0.029,0.030,-1.12,-25.73,0.355,0.356,0.394,0.394,-1.12,-25.73,0.41,2.81,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\54_D12.d" ,"2" ,0.408,0.425,0.484,9.87,22.80,3.22,34.27,2.25,0.077,0.035,0.01,1.38,0.394,0.394,0.474,0.491,0.01,0.05,3.90,9.89,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\54_D12.d" ,"3" ,0.484,0.512,0.565,8.71,20.67,2.92,30.25,2.04,0.081,0.033,1.38,0.52,0.474,0.491,0.561,0.570,0.05,0.09,1.25,8.78,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\54_D12.d" ,"4" ,0.573,0.592,0.642,28.80,30.24,4.27,100.00,2.98,0.070,0.015,1.43,0.30,0.561,0.570,0.653,0.656,0.10,0.14,1.64,28.91,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\54_D12.d" ,"5" ,1.115,1.168,1.299,15.15,44.29,6.26,52.60,4.37,0.184,0.044,-0.16,-0.14,1.109,1.114,1.299,1.304,-0.17,-0.14,1.60,14.99,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\54_D12.d" ,"6" ,3.090,3.210,3.374,14.06,85.34,12.06,48.83,8.42,0.284,0.094,-0.83,-0.76,3.089,3.091,3.374,3.383,-0.83,-0.76,1.25,13.26,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\54_D12.d" ,"7" ,3.400,3.500,3.619,14.39,75.69,10.70,49.98,7.47,0.218,0.083,-0.68,-1.02,3.374,3.383,3.625,3.629,-0.68,-1.02,1.05,13.56,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\54_D12.d" ,"8" ,3.762,3.816,3.890,2.57,8.60,1.22,8.91,0.85,0.127,0.053,-1.20,-1.57,3.752,3.761,3.907,3.911,-1.20,-1.57,0.93,1.21,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\54_D12.d" ,"9" ,6.645,6.867,8.000,28.27,707.55,100.00,98.18,69.82,1.355,0.408,-1.98,-0.23,6.642,6.645,8.000,8.000,-1.98,-0.23,4.15,26.58,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\55_E1.d"," DAD1 - B:Sig=260,4  Ref=360,60 55_E1.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\55_E1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\55_E1.d" ,"1" ,0.363,0.378,0.391,18.19,19.50,2.76,64.30,2.04,0.028,0.030,-1.11,-27.38,0.355,0.356,0.394,0.394,-1.11,-27.38,0.43,3.55,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\55_E1.d" ,"2" ,0.408,0.425,0.464,9.16,17.11,2.42,32.39,1.79,0.056,0.032,1.28,2.25,0.394,0.394,0.462,0.489,1.28,2.10,2.26,10.69,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\55_E1.d" ,"3" ,0.486,0.511,0.559,8.14,16.98,2.40,28.79,1.77,0.073,0.030,1.89,1.30,0.462,0.489,0.561,0.571,1.78,1.21,1.86,9.73,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\55_E1.d" ,"4" ,0.574,0.592,0.629,24.11,23.43,3.31,85.23,2.45,0.055,0.014,1.61,0.75,0.561,0.571,0.654,0.656,1.09,0.67,1.59,25.06,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\55_E1.d" ,"5" ,1.118,1.166,1.254,13.05,37.28,5.27,46.14,3.89,0.136,0.044,-0.14,0.03,1.110,1.113,1.294,1.301,-0.14,0.02,1.58,12.97,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\55_E1.d" ,"6" ,3.099,3.206,3.343,12.06,71.45,10.11,42.63,7.46,0.244,0.093,-0.73,-0.61,3.075,3.080,3.363,3.368,-0.73,-0.61,1.21,11.38,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\55_E1.d" ,"7" ,3.393,3.499,3.611,12.18,65.04,9.20,43.07,6.79,0.219,0.084,-0.71,-1.01,3.384,3.386,3.632,3.636,-0.71,-1.01,1.02,11.33,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\55_E1.d" ,"8" ,6.644,6.868,7.999,28.28,707.01,100.00,100.00,73.82,1.356,0.408,-1.99,-0.19,6.635,6.644,7.998,8.000,-1.99,-0.19,4.13,26.59,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\56_E2.d"," DAD1 - B:Sig=260,4  Ref=360,60 56_E2.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\56_E2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\56_E2.d" ,"1" ,0.364,0.378,0.392,17.08,18.19,2.58,45.87,1.69,0.028,0.030,-1.08,-26.01,0.356,0.357,0.394,0.394,-1.08,-26.01,0.42,3.16,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\56_E2.d" ,"2" ,0.408,0.425,0.484,10.22,23.54,3.34,27.45,2.18,0.076,0.035,-0.03,1.51,0.394,0.394,0.464,0.489,-0.03,0.01,3.87,10.20,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\56_E2.d" ,"3" ,0.484,0.512,0.566,10.01,24.98,3.54,26.88,2.31,0.082,0.037,1.51,0.96,0.464,0.489,0.558,0.571,0.01,0.06,1.04,10.03,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\56_E2.d" ,"4" ,0.575,0.594,0.644,37.23,39.33,5.58,100.00,3.64,0.069,0.015,1.93,0.41,0.558,0.571,0.655,0.657,0.06,0.10,1.75,37.30,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\56_E2.d" ,"5" ,1.117,1.170,1.295,19.96,57.61,8.17,53.62,5.34,0.178,0.044,-0.24,-0.17,1.107,1.109,1.295,1.297,-0.25,-0.17,1.60,19.74,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\56_E2.d" ,"6" ,3.089,3.210,3.374,18.51,110.79,15.71,49.72,10.27,0.285,0.093,-0.87,-0.72,3.082,3.087,3.373,3.377,-0.89,-0.72,1.25,17.69,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\56_E2.d" ,"7" ,3.385,3.503,3.621,18.54,99.81,14.16,49.80,9.25,0.236,0.085,-0.73,-0.98,3.380,3.386,3.628,3.631,-0.73,-0.98,1.00,17.68,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\56_E2.d" ,"8" ,6.648,6.867,8.000,28.24,705.06,100.00,75.84,65.32,1.352,0.408,-2.00,-0.26,6.639,6.644,7.999,8.000,-2.00,-0.26,4.05,26.52,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\57_E3.d"," DAD1 - B:Sig=260,4  Ref=360,60 57_E3.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\57_E3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\57_E3.d" ,"1" ,0.362,0.377,0.391,24.99,27.63,3.90,88.34,2.71,0.029,0.030,-1.28,-40.37,0.355,0.356,0.393,0.394,-1.28,-40.37,0.43,3.05,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\57_E3.d" ,"2" ,0.407,0.426,0.477,12.76,29.75,4.20,45.11,2.92,0.070,0.037,-0.04,2.26,0.393,0.394,0.462,0.484,-0.04,0.01,3.29,12.73,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\57_E3.d" ,"3" ,0.477,0.511,0.566,12.97,37.47,5.29,45.86,3.68,0.088,0.045,2.26,1.29,0.462,0.484,0.561,0.570,0.01,0.07,1.11,13.01,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\57_E3.d" ,"4" ,0.567,0.593,0.643,27.07,30.51,4.31,95.70,2.99,0.076,0.015,1.32,0.34,0.561,0.570,0.653,0.655,0.07,0.12,1.11,27.16,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\57_E3.d" ,"5" ,1.118,1.169,1.268,13.53,39.57,5.59,47.81,3.88,0.150,0.045,-0.15,-0.07,1.108,1.114,1.301,1.305,-0.15,-0.07,1.57,13.40,,,  ,,,,,,,,,,,,
