"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +/- TIC Scan 02_A1.d    ***NO DATA POINTS***"
"No integration results available"
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@10.0 (572.0 -> 295.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"12" ,5.959,6.025,6.033,7.86,22.05,9.82,20.89,2.80,0.074,0.048,46.23,52.63,5.951,5.959,6.033,6.033,45.79,45.78,0.13,53.64,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"13" ,6.033,6.050,6.091,8.11,15.69,6.99,21.57,1.99,0.058,0.038,52.63,46.98,6.025,6.025,6.082,6.091,45.78,45.78,1.66,53.89,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"14" ,6.091,6.148,6.165,6.97,18.89,8.42,18.54,2.40,0.074,0.047,46.98,49.93,6.082,6.091,6.156,6.165,45.78,45.78,0.25,52.75,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"15" ,6.165,6.198,6.263,10.13,31.01,13.82,26.95,3.93,0.099,0.051,49.93,47.72,6.156,6.165,6.255,6.263,45.78,45.77,1.60,55.91,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"16" ,6.263,6.338,6.346,14.49,39.77,17.72,38.54,5.04,0.082,0.048,47.72,55.83,6.255,6.263,6.346,6.354,45.77,45.77,0.20,60.26,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"17" ,6.346,6.445,6.478,24.03,127.54,56.84,63.92,16.18,0.133,0.128,55.83,61.67,6.346,6.354,6.487,6.487,45.77,45.76,0.42,69.80,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"18" ,6.478,6.545,6.553,21.41,82.90,36.94,56.95,10.51,0.075,0.075,61.67,62.66,6.487,6.487,6.553,6.561,45.76,45.76,0.29,67.18,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"19" ,6.553,6.644,6.694,37.60,224.40,100.00,100.00,28.46,0.141,0.107,62.66,65.48,6.553,6.561,6.686,6.686,45.76,45.75,0.45,83.36,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"20" ,6.694,6.702,6.851,22.62,87.63,39.05,60.17,11.11,0.157,0.077,65.48,45.95,6.686,6.686,6.843,6.851,45.75,45.75,6.38,68.38,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"21" ,6.851,6.884,6.901,1.56,2.89,1.29,4.14,0.37,0.050,0.033,45.95,46.22,6.843,6.851,6.893,6.901,45.75,45.75,0.40,47.30,,,  ,163.0,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@10.0 (525.0 -> 393.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
