Columns,77_F9.d,106_H11.d,02_A1.d,03_A2.d,04_A3.d,05_A4.d,06_A5.d,07_A6.d,08_A7.d,09_A8.d,10_A9.d,12_A10.d,13_A11.d,14_A12.d,15_B1.d,16_B2.d,17_B3.d,18_B4.d,19_B5.d,20_B6.d,22_B7.d,23_B8.d,24_B9.d,25_B10.d,26_B11.d,27_B12.d,28_C1.d,29_C2.d,30_C3.d,32_C4.d,33_C5.d,34_C6.d,35_C7.d,36_C8.d,37_C9.d,38_C10.d,39_C11.d,40_C12.d,42_D1.d,43_D2.d,44_D3.d,45_D4.d,46_D5.d,47_D6.d,48_D7.d,49_D8.d,50_D9.d,52_D10.d,53_D11.d,54_D12.d,55_E1.d,56_E2.d,57_E3.d,58_E4.d,59_E5.d,60_E6.d,62_E7.d,63_E8.d,64_E9.d,65_E10.d,66_E11.d,67_E12.d,68_F1.d,68_F2.d,68_F3.d,72_F4.d,73_F5.d,74_F6.d,75_F7.d,76_F8.d,78_F10.d,79_F11.d,80_F12.d,82_G1.d,83_G2.d,84_G3.d,85_G4.d,86_G5.d,87_G6.d,88_G7.d,89_G8.d,90_G9.d,92_G10.d,93_G11.d,94_G12.d,95_H1.d,96_H2.d,97_H3.d,98_H4.d,99_H5.d,100_H6.d,102_H7.d,103_H8.d,104_H9.d,105_H10.d,107_H12.d
I,1.020866291,1.017156143,0.986294288,0.998056541,1.011527823,1.013735471,0.953350648,1.015222259,1.008507358,1.039033361,0.98490489,1.025284421,0.977713753,0.992293922,0.975694864,1.014826046,0.962637952,1.012917995,0.965619749,1.020170871,1.003346352,0.987764782,1.069563121,0.996972203,1.03817415,0.981985079,0.998749004,0.980771445,1.014780196,0.938847136,1.033520662,0.964554519,0.994112573,1.007094203,0.959451869,0.958700577,1.000810465,1.004646094,0.985216374,0.993202471,0.902505455,0.948200285,0.977346114,0.979952453,1.077251965,0.965232448,0.968386907,0.98745696,0.998172778,0.956340435,0.982273493,0.920448983,1.000826046,1.023130164,1.026157307,0.986033409,1.016494153,1.029294436,1.014960902,1.053257513,0.968058363,0.973950931,0.977290732,1.020856066,0.978455588,1.008904385,0.989070766,0.966434342,1.013428657,1.005604445,0.914771432,0.982924441,1.017371984,0.973593004,1.001142514,1.007053422,1.009958164,1.03091177,0.981680313,0.999909725,0.99262882,0.999692993,0.993918982,1.023908533,0.931101339,1.665516806,1.003640286,0.975834464,0.988826834,1.009176193,1.005731389,0.950678205,0.972439652,0.960041883,0.99415104,0.748554288
i6A,0.840814565,0.777235213,0.963836835,0.841380236,0.887823606,0.93256943,0.833098123,1.121630499,0.816085284,0.870477685,0.804019089,0.843281984,0.747492964,0.914345271,0.908499603,1.095737927,0.895313405,1.177081101,1.044099031,0.993170102,0.876097828,1.003026234,0.975682064,0.851858118,0.864705602,0.845000595,1.013656915,1.073095229,0.98911088,1.001778698,1.155623103,1.116161511,0.858829574,0.821796612,0.782354058,0.877815927,0.800099538,0.697812323,1.063934511,1.278550218,1.095885242,1.131236773,0.863184693,1.112832961,2.333011407,1.00889175,0.907330597,0.721145276,1.101412478,0.783582442,0.943308808,1.051445198,1.016149198,1.115935492,1.342001629,3.802982018,0.743749184,1.071717526,0.806925659,0.849139232,0.898982258,0.702511083,0.956338023,1.088869509,0.882710046,1.064985899,1.116809819,1.074848645,1.164549473,0.793318768,0.884987862,0.894036378,0.700347155,1.004060588,0.876615083,0.81815182,1.535443137,0.977460167,1.161306139,1.050061359,0.84579005,0.86201114,0.771509145,0.901208081,0.790479372,0.892298625,1.116849969,1.23269367,1.086478695,1.698559479,1.004935877,0.763553831,0.89466813,0.824065001,0.863102378,0.905743953
io6A,0.544134454,1.225899208,0.925040306,0.815063382,0.781183711,0.928665295,0.743566817,0.921145084,0.777263033,0.702131769,0.844898713,0.754085617,0.776754271,0.727559821,1.054954149,0.990638962,0.824918753,1.095338193,1.02870198,0.879780427,0.940520886,0.960708402,0.831065001,0.697381561,0.594464626,0.727697332,1.075724942,1.192908517,0.926648104,1.16557579,1.145552676,1.15264302,0.919510414,0.909893689,0.634428374,0.756507855,0.748432321,0.911958886,1.139692362,1.302555518,0.989706205,1.139987797,1.083319226,1.178098672,1.592571114,1.122676873,1.005884734,0.938891931,0.95973003,0.998809456,1.014991902,1.098298615,1.060370355,1.003519013,1.281109203,2.779147556,0.954390945,0.951020735,0.775988435,0.812620357,0.890473672,0.863194333,1.047997358,1.221320367,1.009461603,1.149222197,1.138162664,1.242843709,1.182822735,0.827242339,0.849600913,1.036113579,0.799331543,1.07417793,1.022096091,0.847867405,1.341415407,1.236102037,1.140773073,1.219307015,1.101001224,1.050926151,0.766702072,0.967232076,0.850980491,0.873937494,1.070205226,1.22025295,1.04314601,1.339380059,1.140343697,0.709406319,1.126919528,1.070418834,0.80715057,1.082730106
m1A,1.118293015,1.267259948,1.242379944,1.512241491,1.415662281,0.950981334,1.076637856,0.927404311,1.292737927,1.020909702,0.892219236,0.921102355,0.780334021,0.837809952,1.210728337,1.208417583,1.135867319,0.892822939,0.868215303,1.007147539,1.039618651,1.125565327,0.951417096,0.776341145,1.199097114,0.759451807,1.347383181,1.196111044,1.152143495,0.79690403,0.956848781,0.645828409,0.915124329,1.319415312,0.847485606,0.929294132,0.82806686,0.780138492,1.350808806,1.037107386,0.952071829,1.083112798,1.538046551,0.86261754,1.207279224,0.940331791,0.908052412,1.116813287,0.844646353,0.88466768,1.044988766,0.844742955,0.859133442,0.908825747,0.943846896,0.472372526,0.897753419,0.908663671,0.764461863,0.824676001,0.845362943,0.86205142,1.248446008,0.981991227,0.97920829,1.012667816,0.889835896,0.853581573,0.805300738,1.053432104,0.951076541,0.934188551,0.733019303,0.87684794,0.971468416,1.065280424,0.99484272,1.061200367,0.840151585,0.905400618,0.917843579,0.846686703,1.195465127,0.911132143,0.617592721,1.103393385,0.965620127,1.056531153,0.519112867,3.095959771,0.81663454,1.104135766,0.833479397,0.904591882,0.823308114,1.012851561
m1G,1.048286705,1.062404136,0.98518958,0.979963097,1.015589328,1.020370894,0.958918765,1.001686451,0.987796898,1.006958721,0.96979051,0.981760479,0.973537513,1.002852329,1.001077884,1.016358041,0.97122544,0.99828949,0.961767755,0.974147182,0.982661139,0.989652521,1.004931862,0.983221001,1.014150928,0.988893524,1.01112843,0.988427906,0.979899375,0.929544844,0.998267958,1.010519396,0.980134631,1.022051794,0.970042526,0.981694892,0.978807739,0.991737719,0.984709723,0.989695857,0.937777299,1.018808108,1.005303242,0.988481831,1.01209138,1.005502692,0.994334473,0.964400914,1.021497289,0.973438665,0.978593984,0.905954826,0.990976095,1.012192531,0.996819569,1.039085374,1.000234142,1.035909683,1.005379022,1.009777572,0.994163816,1.02654399,1.026433621,1.047761817,1.003390127,1.037328449,1.009179024,1.022999818,1.002254286,1.014258735,0.925800304,1.034353682,1.023576293,0.962846825,1.009795158,1.027082306,1.046242925,1.040703626,1.015114863,0.974796775,1.022134717,1.012453912,0.97792722,1.024744845,0.955932716,0.991129742,1.026606549,1.006607487,1.069372378,0.995835482,1.013267396,0.960424031,1.029354431,1.039802766,1.022224675,1.155961137
m22G,1.861420395,1.796463601,1.276490803,1.604396369,1.377028442,0.916871257,1.105918116,1.150164359,1.253355162,0.892294381,0.942737997,0.949898828,0.839086028,0.895422117,1.268235317,1.215853413,1.244298436,0.850624734,0.774885883,0.935222642,1.057829107,1.049713518,0.979103943,0.774090875,1.363135279,0.908492466,1.209134888,1.089107333,1.006828492,0.845945801,0.873610548,0.901477559,0.941634638,1.24990655,1.039631763,0.695244593,0.719907502,0.741154098,1.368821251,0.996180719,0.895671194,1.060605494,1.17361299,1.047185157,0.890693995,0.574907518,0.962701465,0.97772619,0.66648699,0.669953241,1.104720559,0.828296636,0.919481883,0.875009294,0.879792629,0.6638113,0.950969604,0.770583901,0.769354288,0.986007103,0.898564073,0.813637973,1.283991632,1.086338621,1.113895229,1.055624215,0.675087326,0.89718525,0.803640675,0.85959436,0.731074033,0.898389703,0.654805925,0.826946352,1.093215716,1.049908437,1.041113279,1.047454766,0.941589877,0.798676043,0.863374372,0.943791871,1.036043768,0.937276536,0.728843237,1.203243657,0.938830303,0.982873316,0.887815472,2.330366766,0.97166471,1.065767495,0.885670024,1.041088863,0.827464348,1.019190767
m2A,1.101182223,1.115546902,1.019753117,1.018623084,1.050463349,1.010537163,0.997047911,0.984063857,1.050533556,1.02170163,1.014627774,1.039453009,1.023355586,1.045562017,1.027331289,1.000049387,1.022703668,0.984514314,0.986111274,1.007157084,1.027209135,1.017331832,1.025252504,1.032131379,1.046404281,1.064995106,0.991825559,1.013562745,1.016545271,0.932611744,0.990306398,1.013251382,1.02272822,1.041198517,1.023367164,0.991112188,1.02815751,1.018354054,1.003215619,0.974444739,0.891637904,0.963117587,0.998251098,0.987459642,1.002915564,1.006659818,1.032800253,0.988071186,1.005238387,1.011681868,0.994530734,0.918702085,0.991444748,0.978294098,0.996872065,0.913692446,1.003996769,0.997557548,1.019921679,1.030470141,0.980906914,1.014318496,1.012389812,1.016183897,0.999862703,0.999984786,0.985991004,1.004448779,0.979915961,1.008341254,0.91684469,0.994095899,1.030560991,0.918823016,0.966667535,0.991731152,0.992180828,1.026118341,1.003649548,0.977953998,1.028548462,1.010797774,1.004387538,0.989321085,0.948271399,0.970623815,0.967309812,0.960782412,0.985382867,0.915953933,0.975757365,0.910534654,0.977096054,0.998006731,0.989426569,1.065260818
m2G,1.165872434,1.822690993,1.099639406,1.116909051,0.908045138,0.864434499,1.060318863,0.984266327,0.969842769,0.829621767,1.127276152,1.011289095,1.16888029,0.757450533,1.227743508,0.968332472,0.941361533,0.957897884,0.875877586,1.032601762,0.982209582,1.235853384,0.984099357,0.808301576,1.072790829,1.157966734,0.851070216,1.049670126,1.023082621,0.970723886,0,1.033769382,0.84669757,0.937333966,1.01053931,0.942084528,1.092120878,0.82014404,1.209757629,0.743339811,0.933845542,0.890420704,0.886432387,1.02327308,1.134924782,1.068417567,1.101966937,1.060449385,1.042847068,1.144875516,1.125017652,0.809780012,1.207575511,0,1.161666591,1.039490709,0.924292915,1.032002194,1.036057364,0.865989207,1.002241327,0.902107411,1.166577891,0.965264037,1.039292664,1.067211058,0.916707226,1.236962544,1.074600741,1.091361221,0.999385305,0.907184126,1.136607486,0.96677425,0.904326573,0.846181102,0.889131841,1.129169215,0.942399721,1.118496006,1.147541252,1.005460499,1.114208262,1.065390822,0.977374481,1.130368146,1.167300369,0.986308326,0.930332823,2.247316813,0.792508478,1.083390632,1.067620872,0,0.766403054,1.011654982
m3U,1.060499646,1.04717485,0.868084787,0.910249327,0.97174226,0.961209577,0.93295777,0.965126491,0.929337197,0.993998438,0.92160698,0.93087102,0.972752591,0.970242465,0.979479944,1.0003856,0.979896115,0.995331738,0.927710981,0.975271333,0.947021681,0.984609873,1.029260971,0.980350521,0.963962953,0.936323066,0.989427993,0.997749518,0.967656043,0.903917853,0.977253651,0.99139367,0.968587567,0.959542282,0.950526383,0.931993776,0.968100279,0.945408412,0.960365846,0.995266752,0.929946532,0.936980431,0.958777579,1.003698416,0.999397014,0.938382114,0.96640801,0.974990064,0.989177405,1.011142945,1.02915569,0.933007759,0.986328496,1.032642565,1.001797013,1.025624901,1.045655068,0.98407613,1.063194806,1.06659695,0.97747076,1.028742093,1.029548694,1.05040336,1.026384441,1.077085592,1.030935714,1.034696204,1.039935527,1.050727877,0.99723727,1.035827586,1.053253361,0.957371829,1.061954194,1.041864915,1.06822505,1.007272646,1.05288341,1.017503932,1.044344439,1.020654659,1.061598703,1.081013598,1.022270743,1.065834309,1.044777009,1.055244686,1.100697825,1.012025776,1.042717328,1.003724732,1.079302486,1.086021204,1.109164981,1.030121581
m5C,1.82143537,1.004905908,1.166422098,1.276162179,1.31705338,0.870749455,1.203800171,0.993363877,1.037303904,0.96764399,0.82506279,0.89124833,0.766641063,0.704277669,1.275439454,1.316401528,1.179690347,0.751907412,0.739581926,0.94171057,1.127511693,1.060203398,1.009146393,0.798070645,1.071096721,0.718725498,1.288027984,1.112021848,1.095466485,0.976127196,0.97446686,0.879847574,0.882713338,1.321116938,0.93036368,0.781933335,0.778489046,0.720776458,1.480320618,1.038016596,0.993280291,1.033176956,1.421373596,1.009263812,1.125210894,0.870618796,0.906473645,1.00015658,0.652570188,0.885922704,1.169501426,0.916628674,1.010580743,0.949393984,0.880270618,0.642798132,0.982976402,0.953935037,0.830750766,0.857369108,0.982079491,0.843337871,1.250120451,1.011080515,1.175907172,0.941090404,0.776361865,1.025511795,0.789268497,0.964536989,0.764736051,1.034842308,0.694250949,0.866430456,1.015934343,1.102922155,0.925674338,1.213332214,0.879698315,1.004365108,0.929257317,0.899455319,1.006042401,0.789895787,0.722030293,0.949551487,0.849177969,1.025456398,0.788029109,3.069391375,0.895546448,0.999810323,0.786119638,0.910382546,0.900754639,1.000991528
m5s2U,2.472729552,5.100128367,0.317626904,0.648163138,1.021182554,0.835519404,0.478248675,0.290912563,0.724575915,0.847261791,1.057170546,0.522401496,0.484635148,0.384491232,0.277716548,0.434038039,1.390305335,0.441533148,2.062770579,0.804121131,0.494372511,0.614398397,2.435912616,2.208149409,0.560962078,0.52975761,0.99719459,0.626441403,0.429003126,0.393535947,1.876708188,0.645418545,0.803339413,0.245269739,0.121988481,0.66726253,0.857228634,0.504814988,0.558360362,1.181014455,0.479644354,1.875238918,0.704607817,0.820028211,0.552341975,0.587625547,0.496832313,1.322521375,1.565137296,2.154302835,0.73843417,0.779765702,1.529087851,0.803250145,1.003880251,1.833340685,1.991034404,0.170842634,0.472539673,0.957008508,3.157246699,0.81167564,1.641017167,0.517807868,0.948004954,1.426180497,0.266449332,2.077660996,0.783018435,0.501998654,1.232330337,1.183441256,0.471484453,0.43566009,0.983328161,1.977254963,0.442626633,2.935521129,0.986080391,1.190606656,1.671617762,2.256897671,0.797115636,0.334305395,1.405284864,0.282195834,0.524649778,1.035196087,0.255120604,0.319425793,0.795573287,1.386206305,0.348158255,0.600337976,0.833399164,1.097898286
