"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\03_A2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\03_A2.d" ,"1" ,0.361,0.377,0.391,22.87,25.05,3.50,54.93,2.41,0.029,0.031,-1.02,-35.29,0.354,0.356,0.393,0.393,-1.02,-35.29,0.40,3.24,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\03_A2.d" ,"2" ,0.407,0.426,0.477,11.87,27.16,3.79,28.50,2.62,0.070,0.036,0.01,1.88,0.393,0.393,0.465,0.484,0.01,0.05,3.22,11.89,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\03_A2.d" ,"3" ,0.477,0.508,0.563,11.81,27.96,3.90,28.36,2.70,0.086,0.034,1.88,0.30,0.465,0.484,0.559,0.566,0.05,0.10,1.10,11.88,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\03_A2.d" ,"4" ,0.567,0.586,0.638,41.63,48.28,6.74,100.00,4.65,0.071,0.015,0.76,0.15,0.559,0.566,0.643,0.644,0.11,0.15,2.47,41.75,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\03_A2.d" ,"5" ,1.113,1.166,1.269,11.38,37.26,5.20,27.33,3.59,0.156,0.051,-0.18,-0.04,1.104,1.112,1.266,1.271,-0.18,-0.04,1.62,11.25,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\03_A2.d" ,"6" ,3.112,3.220,3.371,14.83,91.04,12.70,35.62,8.78,0.260,0.097,-0.70,-0.34,3.098,3.101,3.407,3.409,-0.70,-0.34,1.27,14.28,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\03_A2.d" ,"7" ,3.438,3.531,3.639,12.68,64.01,8.93,30.45,6.17,0.201,0.080,-0.55,-1.06,3.416,3.421,3.659,3.665,-0.55,-1.06,1.01,11.89,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\03_A2.d" ,"8" ,6.642,6.869,7.999,28.40,716.64,100.00,68.23,69.08,1.357,0.409,-2.22,-0.24,6.634,6.642,7.999,8.000,-2.22,-0.24,4.58,26.51,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\04_A3.d"," DAD1 - B:Sig=260,4  Ref=360,60 04_A3.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\04_A3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\04_A3.d" ,"1" ,0.363,0.378,0.391,19.24,19.89,2.62,50.96,1.86,0.028,0.031,-0.68,-25.34,0.354,0.356,0.393,0.394,-0.68,-25.34,0.39,5.31,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\04_A3.d" ,"2" ,0.405,0.422,0.484,13.15,34.72,4.58,34.82,3.24,0.080,0.037,-0.35,2.74,0.393,0.394,0.476,0.490,-0.35,-0.42,4.12,12.78,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\04_A3.d" ,"3" ,0.484,0.510,0.556,10.77,25.32,3.34,28.53,2.37,0.072,0.035,2.74,-0.48,0.476,0.490,0.558,0.559,-0.42,-0.48,1.27,10.33,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\04_A3.d" ,"4" ,0.566,0.586,0.643,37.75,47.16,6.22,100.00,4.41,0.077,0.016,0.58,-0.56,0.558,0.559,0.643,0.644,-0.49,-0.56,2.64,37.24,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\04_A3.d" ,"5" ,1.114,1.178,1.280,10.10,34.66,4.57,26.75,3.24,0.166,0.053,-0.30,-0.17,1.111,1.114,1.280,1.281,-0.30,-0.17,1.47,9.85,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\04_A3.d" ,"6" ,3.111,3.239,3.438,13.88,88.88,11.71,36.77,8.30,0.326,0.099,-0.95,-0.87,3.101,3.105,3.437,3.439,-0.97,-0.87,1.28,12.95,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\04_A3.d" ,"7" ,3.447,3.546,3.658,12.32,60.92,8.03,32.63,5.69,0.211,0.078,-0.84,-1.26,3.437,3.439,3.664,3.666,-0.84,-1.26,1.02,11.28,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\04_A3.d" ,"8" ,6.637,6.862,7.999,29.28,758.73,100.00,77.58,70.89,1.362,0.413,-2.31,-0.35,6.635,6.638,7.999,8.000,-3.31,-0.35,6.73,26.46,,,  ,,,,,,,,,,,,

